-281474976710653,1
-240518168576,1
-120259084286,29
-9371,1
-486,1
-89,2
-62,1
-55,1
-47,1
-45,1
-34,1
-30,1
-28,1
-27,1
-26,1
-25,1
-23,1
-21,1
-20,2
-15,2
-14,2
-13,1
-11,5
-10,2
-9,13
-8,4
-7,8
-6,13
-5,18
-4,24
-3,87
-2,133
-1,94
0,2692
1,66335
2,31293
3,10911
4,8691
5,5535
6,4534
7,2649
8,2564
9,1672
10,1818
11,839
12,966
13,459
14,468
15,430
16,660
17,298
18,403
19,201
20,303
21,224
22,176
23,123
24,362
25,183
26,122
27,159
28,134
29,96
30,194
31,93
32,261
33,66
34,85
35,70
36,192
37,66
38,56
39,48
40,102
41,60
42,89
43,30
44,61
45,59
46,39
47,40
48,84
49,75
50,79
51,22
52,36
53,24
54,40
55,45
56,76
57,16
58,30
59,23
60,68
61,23
62,18
63,36
64,109
65,21
66,25
67,13
68,23
69,12
70,30
71,24
72,54
73,16
74,28
75,12
76,11
77,11
78,16
79,23
80,34
81,77
82,13
83,17
84,23
85,14
86,11
87,14
88,17
89,27
90,38
91,11
92,6
93,8
94,7
95,10
96,32
97,18
98,24
99,28
100,83
101,15
102,4
103,2
104,6
105,14
106,6
107,3
108,24
109,12
110,9
111,8
112,13
114,8
115,2
116,4
117,6
118,7
119,2
120,43
121,18
122,12
123,11
124,1
125,17
126,11
127,10
128,50
129,8
130,7
131,3
132,13
133,1
135,4
136,7
138,4
140,6
141,6
142,1
143,9
144,42
145,7
146,1
147,5
148,2
149,3
150,8
151,2
152,1
153,5
154,2
155,2
156,7
157,2
158,2
159,6
160,12
161,5
162,18
163,3
164,6
165,3
167,1
168,8
169,17
170,3
171,3
172,4
174,3
175,2
176,2
179,4
180,6
181,2
182,4
185,1
186,5
188,1
189,1
190,11
191,1
192,13
194,2
195,2
196,10
197,1
198,7
199,8
200,13
201,5
202,1
203,20
204,16
206,1
207,4
208,2
209,6
210,12
211,1
212,2
215,1
216,16
218,1
220,3
222,1
223,5
224,5
225,7
226,2
227,3
228,3
230,1
232,7
233,1
234,3
235,1
237,1
240,8
241,2
242,7
243,8
244,1
245,1
246,1
248,1
250,5
251,2
252,5
253,1
254,15
255,6
256,37
257,3
258,5
259,6
260,4
261,1
264,2
265,1
267,1
268,5
269,1
270,2
271,2
272,2
273,1
274,2
275,5
282,1
285,1
287,3
288,19
289,6
290,4
291,1
292,1
298,1
300,6
301,2
304,1
306,2
309,3
310,2
312,1
313,1
315,1
318,4
319,5
320,5
322,3
323,1
324,9
325,1
326,1
328,1
333,2
335,1
336,4
337,1
338,5
339,4
340,1
342,4
343,7
348,1
350,2
351,4
352,2
353,1
354,1
355,1
356,1
360,12
361,7
362,3
363,2
364,2
365,6
366,5
369,3
372,1
373,1
378,2
380,1
383,1
384,11
386,1
390,1
391,1
392,5
397,1
399,4
400,6
401,1
402,1
408,2
409,1
410,1
411,1
413,1
414,1
415,1
420,10
423,1
424,1
426,1
428,1
429,2
431,1
432,8
433,1
434,2
436,1
440,2
441,3
442,2
445,1
448,1
450,2
454,1
455,1
459,1
461,6
462,2
464,1
465,1
468,2
470,2
472,1
473,1
474,1
477,3
478,2
480,5
482,1
483,1
484,4
485,3
486,5
490,2
492,2
494,1
496,1
498,1
500,2
504,4
505,1
506,1
507,1
511,7
512,18
515,2
521,3
522,1
523,1
527,1
528,6
529,7
530,2
531,1
540,3
544,2
552,1
561,1
568,1
571,1
575,1
576,19
577,3
578,2
580,1
584,1
587,1
588,1
591,2
592,2
593,1
600,2
620,1
624,2
625,9
626,1
627,3
630,3
631,6
636,2
639,1
640,2
642,1
644,4
646,1
648,9
650,3
658,1
672,2
675,2
676,5
677,1
678,1
680,2
682,1
686,2
696,2
700,2
702,2
709,1
719,1
720,11
721,3
723,1
725,1
728,1
729,15
730,4
731,2
732,1
736,1
747,1
