mov,$0,-6,3
mov,$0,-5,3
mov,$0,-3,3
mov,$0,-1,2
mov,$0,0,204
mov,$0,1,466
mov,$0,2,233
mov,$0,3,125
mov,$0,4,109
mov,$0,5,79
mov,$0,6,72
mov,$0,7,30
mov,$0,8,34
mov,$0,9,22
mov,$0,10,22
mov,$0,11,6
mov,$0,12,6
mov,$0,13,5
mov,$0,14,2
mov,$0,15,2
mov,$0,16,4
mov,$0,17,3
mov,$0,18,1
mov,$0,19,1
mov,$0,20,1
mov,$0,21,1
mov,$0,22,1
mov,$0,23,1
mov,$0,24,3
mov,$0,27,1
mov,$0,29,1
mov,$0,30,1
mov,$0,31,2
mov,$0,32,6
mov,$0,35,1
mov,$0,36,1
mov,$0,38,1
mov,$0,40,1
mov,$0,43,1
mov,$0,44,1
mov,$0,47,2
mov,$0,50,2
mov,$0,56,2
mov,$0,60,1
mov,$0,64,1
mov,$0,68,1
mov,$0,69,1
mov,$0,72,1
mov,$0,76,1
mov,$0,90,1
mov,$0,123,1
mov,$0,127,1
mov,$0,186,2
mov,$0,200,1
mov,$0,291,1
mov,$0,631,3
mov,$0,730,1
mov,$0,1599,1
mov,$0,1729,2
mov,$0,43071,1
mov,$0,531441,1
mov,$0,$1,247
mov,$0,$2,579
mov,$0,$3,615
mov,$0,$4,558
mov,$0,$5,822
mov,$0,$6,317
mov,$0,$7,544
mov,$0,$8,211
mov,$0,$9,552
mov,$0,$10,167
mov,$0,$11,304
mov,$0,$12,247
mov,$0,$13,219
mov,$0,$14,141
mov,$0,$15,134
mov,$0,$16,154
mov,$0,$17,62
mov,$0,$18,69
mov,$0,$19,51
mov,$0,$20,53
mov,$0,$21,17
mov,$0,$22,21
mov,$0,$23,22
mov,$0,$24,14
mov,$0,$25,4
mov,$0,$26,9
mov,$0,$27,75
mov,$0,$28,2
mov,$0,$29,2
mov,$0,$30,13
mov,$0,$31,34
mov,$0,$33,2
mov,$0,$34,9
mov,$0,$35,20
mov,$0,$37,2
mov,$0,$38,5
mov,$0,$39,5
mov,$0,$42,5
mov,$0,$64,1
mov,$0,$68,1
mov,$0,$71,1
mov,$0,$92,1
mov,$0,$95,1
mov,$0,$245,1
mov,$0,$$1,1
mov,$0,$$3,1
mov,$1,-30,1
mov,$1,-26,1
mov,$1,-14,1
mov,$1,-11,1
mov,$1,-10,1
mov,$1,-9,1
mov,$1,-8,2
mov,$1,-7,3
mov,$1,-6,4
mov,$1,-5,5
mov,$1,-4,14
mov,$1,-3,38
mov,$1,-2,64
mov,$1,-1,33
mov,$1,0,93
mov,$1,1,1709
mov,$1,2,1426
mov,$1,3,669
mov,$1,4,549
mov,$1,5,410
mov,$1,6,277
mov,$1,7,188
mov,$1,8,130
mov,$1,9,97
mov,$1,10,71
mov,$1,11,27
