mov,96480
add,63985
sub,42700
trn,7463
mul,24826
div,14361
mod,2959
pow,6873
log,213
fac,137
gcd,2010
bin,2697
cmp,559
lpb,24579
lpe,24579
clr,1659
cal,2857
